id,name,,,,,
1,レディース,,,,,
2,メンズ,,,,,
3,ベビー・キッズ,,,,,
4,インテリア・住まい・雑貨,,,,,
5,キッチン・食器,,,,,
6,時計,,,,,
7,コスメ・香水・美容,,,,,
8,テレビゲーム,,,,,
9,スポーツ・レジャー,,,,,
10,スマートフォン・携帯電話,,,,,
11,バイク,,,,,
12,楽器,,,,,
13,自動車パーツ,,,,,
14,食品,,,,,
15,国内自動車本体,,,,,
16,外国自動車本体,,,,,
