id,name,middle_category_id,order_number,brand_upper_category_id,size_type_id,
171,ワンピース,18,4,1,1,
172,パンツ/スパッツ,18,5,1,1,
173,スカート,18,6,1,1,
174,パジャマ,18,7,1,1,
175,授乳服,18,8,1,1,
176,その他,18,9,1,,
177,コスプレ,19,1,1,,
178,下着,19,2,1,,
179,その他,19,3,1,,
180,Tシャツ/カットソー（半袖/袖なし）,20,1,2,1,
181,Tシャツ/カットソー（七分/長袖）,20,2,2,1,
182,シャツ,20,3,2,1,
183,ポロシャツ,20,4,2,1,
184,タンクトップ,20,5,2,1,
185,ニット/セーター,20,6,2,1,
186,パーカー,20,7,2,1,
187,カーディガン,20,8,2,1,
188,スウェット,20,9,2,1,
189,ジャージ,20,10,2,1,
190,ベスト,20,11,2,1,
191,その他,20,12,2,1,
192,テーラードジャケット,21,1,2,1,
193,ノーカラージャケット,21,2,2,1,
194,Gジャン/デニムジャケット,21,3,2,1,
195,レザージャケット,21,4,2,1,
196,ダウンジャケット,21,5,2,1,
197,ライダースジャケット,21,6,2,1,
198,ミリタリージャケット,21,7,2,1,
199,ナイロンジャケット,21,8,2,1,
200,フライトジャケット,21,9,2,1,
201,ダッフルコート,21,10,2,1,
202,ピーコート,21,11,2,1,
203,ステンカラーコート,21,12,2,1,
204,トレンチコート,21,13,2,1,
205,モッズコート,21,14,2,1,
206,チェスターコート,21,15,2,1,
207,スタジャン,21,16,2,1,
208,スカジャン,21,17,2,1,
209,ブルゾン,21,18,2,1,
210,マウンテンパーカー,21,19,2,1,
211,ダウンベスト,21,20,2,1,
212,ポンチョ,21,21,2,1,
213,カバーオール,21,22,2,1,
214,その他,21,23,2,1,
215,デニム/ジーンズ,22,1,2,1,
216,ワークパンツ/カーゴパンツ,22,2,2,1,
217,スラックス,22,3,2,1,
218,チノパン,22,4,2,1,
219,ショートパンツ,22,5,2,1,
220,ペインターパンツ,22,6,2,1,
221,サルエルパンツ,22,7,2,1,
222,オーバーオール,22,8,2,1,
223,その他,22,9,2,1,
224,スニーカー,23,1,2,2,
225,サンダル,23,2,2,2,
226,ブーツ,23,3,2,2,
227,モカシン,23,4,2,2,
228,ドレス/ビジネス,23,5,2,2,
229,長靴/レインシューズ,23,6,2,2,
230,デッキシューズ,23,7,2,2,
231,その他,23,8,2,2,
232,ショルダーバッグ,24,1,2,,
233,トートバッグ,24,2,2,,
234,ボストンバッグ,24,3,2,,
235,リュック/バックパック,24,4,2,,
236,ウェストポーチ,24,5,2,,
237,ボディーバッグ,24,6,2,,
238,ドラムバッグ,24,7,2,,
239,ビジネスバッグ,24,8,2,,
240,トラベルバッグ,24,9,2,,
241,メッセンジャーバッグ,24,10,2,,
242,エコバッグ,24,11,2,,
243,その他,24,12,2,,
244,スーツジャケット,25,1,2,1,
245,スーツベスト,25,2,2,1,
246,スラックス,25,3,2,1,
247,セットアップ,25,4,2,1,
248,その他,25,5,2,1,
249,キャップ,26,1,2,,
250,ハット,26,2,2,,
251,ニットキャップ/ビーニー,26,3,2,,
252,ハンチング/ベレー帽,26,4,2,,
253,キャスケット,26,5,2,,
254,サンバイザー,26,6,2,,
255,その他,26,7,2,,
256,ネックレス,27,1,2,,
257,ブレスレット,27,2,2,,
258,バングル/リストバンド,27,3,2,,
259,リング,27,4,2,,
260,ピアス（片耳用）,27,5,2,,
261,ピアス（両耳用）,27,6,2,,
262,アンクレット,27,7,2,,
263,その他,27,8,2,,
264,長財布,28,1,2,,
265,折り財布,28,2,2,,
266,マネーグリップ,28,3,2,,
267,コインケース/小銭入れ,28,4,2,,
268,名刺入れ/定期入れ,28,5,2,,
269,キーケース,28,6,2,,
270,キーホルダー,28,7,2,,
271,ネクタイ,28,8,2,,
272,手袋,28,9,2,,
273,ハンカチ,28,10,2,,
274,ベルト,28,11,2,,
275,マフラー,28,12,2,,
276,ストール,28,13,2,,
277,バンダナ,28,14,2,,
278,ネックウォーマー,28,15,2,,
279,サスペンダー,28,16,2,,
280,ウォレットチェーン,28,17,2,,
281,サングラス/メガネ,28,18,2,,
282,モバイルケースカバー,28,19,2,,
283,手帳,28,20,2,,
284,ストラップ,28,21,2,,
285,ネクタイピン,28,22,2,,
286,カフリンクス,28,23,2,,
287,イヤマフラー,28,24,2,,
288,傘,28,25,2,,
289,レインコート,28,26,2,,
290,ミラー,28,27,2,,
291,タバコグッズ,28,28,2,,
292,その他,28,29,2,,
293,腕時計（アナログ）,29,1,6,,
294,腕時計（デジタル）,29,2,6,,
295,ラバーベルト,29,3,6,,
296,レザーベルト,29,4,6,,
297,金属ベルト,29,5,6,,
298,その他,29,6,6,,
