id,name,,,,,
1,洋服,,,,,
2,メンズ靴,,,,,
3,レディース靴,,,,,
4,スカート,,,,,
5,キッズ服,,,,,
6,ベビー・キッズ靴,,,,,
7,ベビー服,,,,,
8,テレビ,,,,,
9,カメラレンズ,,,,,
10,オートバイ,,,,,
11,ヘルメット,,,,,
12,タイヤ,,,,,
13,スキー,,,,,
14,スノーボード,,,,,
